date,apprehended,cbp_custody,transferred,hhs_care,discharged,transfer_efficiency_ratio,discharge_effectiveness_index,pipeline_throughput_rate,backlog_accumulation_rate,outcome_stability_score,year,month,day_of_week,is_weekend,transfer_efficiency_ratio_anomaly,discharge_effectiveness_index_anomaly
2024-01-11,29,51,11,8829,476,0.3793103448275862,0.0539132404575829,0.0549785504628584,-447.0,0.0090467951268127,2024,1,Thursday,False,True,False
2024-07-30,125,203,208,5930,92,1.664,0.0155143338954468,0.0495458298926507,33.0,0.0075276145195573,2024,7,Tuesday,False,False,True
2025-01-21,59,64,117,4728,54,1.9830508474576272,0.0114213197969543,0.0357217463964904,5.0,0.0088909552055725,2025,1,Tuesday,False,False,True
2025-02-17,8,17,14,2532,15,1.75,0.0059241706161137,0.0114173228346456,-7.0,0.0125022319454172,2025,2,Monday,False,False,True
2025-02-18,18,19,11,2536,9,0.6111111111111112,0.0035488958990536,0.0078308535630383,9.0,0.0111157271097839,2025,2,Tuesday,False,False,True
2025-02-26,12,21,1,2411,23,0.0833333333333333,0.009539610120282,0.0099050763516302,-11.0,0.0035157010506579,2025,2,Wednesday,False,True,False
2025-11-23,3,46,22,2375,1,7.333333333333333,0.0004210526315789,0.0096719932716568,2.0,0.0015852608987303,2025,11,Sunday,True,False,True
2025-11-30,4,18,10,2415,0,2.5,0.0,0.0041339396444811,4.0,0.002112330464763,2025,11,Sunday,True,False,True
